"番号","質問","カテゴリ","優先度","なぜ聞くか","回答形式","回答","ステータス"
"A-11","太田:死亡事故発生時の対応フロー(発見→警察→保険→遺族→客室復旧→告知義務の整理)は実際どうだったか?","A 太田・実数と改革検証","★★ 重要","危機対応SOPの文書化(【要確認】7番)。経験者しか書けない章で、コンサル商品としても価値が高い","時系列の自由記述。長文でOK","","未回答"
"A-12","太田:デリヘル・ほてヘル利用への対応ルール(黙認/拒否/条件付き)は?","A 太田・実数と改革検証","★ 余裕あれば","地方ホテル運営の現実的論点。フロントスタッフへの指示として文書化する","方針+フロントへの実際の指示内容","","未回答"
"B-01","旭:買収スキームの詳細(株式取得額、引き継いだ負債、賃料、キンキとの契約形態)は?","B 旭サンモール","★★ 重要","「運営会社ごと買う」パターンの型化。太田(賃貸)・高萩(取得改装)と並ぶ第3のスキームとして整理する","数値+スキーム図の説明","【AI下書き・要確認】株式譲渡700万円(2025年10月末、売り手SMC大久保氏→買い手キンキエステート)。BS精算約1,847万円(売掛重複116万修正、松尾ミートへの仮払1,800万は借換返済済、商品・貯蔵品・預かり保証金・資本金100万は精算対象外)。精算分の税務処理は「株式追加取得費用(投資有価証券2,200万)」vs「PL経費」を検討し稲川さんが提案。固定資産税は裁判所と交渉継続。(出典: 2026-04-09稲川さん大久保さんMTG) ←賃料と引継負債の記載なし。補記ください","未回答"
"B-02","旭:引き継ぎ時(2025年11月)と現在の稼働率・ADRは?","B 旭サンモール","★★ 重要","2例目の再生カーブ。太田と重ねると「何ヶ月目に何が起きるか」の一般化ができる","前:稼働◯%/ADR◯円 → 現:◯%/◯円","","未回答"
"B-03","旭:宴会コース松竹梅の実際の価格と、それぞれの粗利率は?","B 旭サンモール","★★ 重要","「竹に誘導」戦略の数値裏付け。外注70%構造でどのコースが一番儲かるかを明示する","松◯円/竹◯円/梅◯円、粗利率それぞれ","","未回答"
"B-04","旭:料理外注(70%)の契約構造は?固定部分・最低保証・値上げ条項はあるか?","B 旭サンモール","★★ 重要","宴会の損益分岐点計算に必須。次のホテルで外注契約を結ぶ際の雛形になる","契約条件の要点","","未回答"
"B-05","旭:月商2,500万目標(宿泊2,000+宴会500)の直近の達成状況は?","B 旭サンモール","★★ 重要","目標と実績のギャップから残りの打ち手を特定する","直近月:宿泊◯万/宴会◯万","","未回答"
"B-06","旭:自走化(2026年目標)の障害トップ3は何か?","B 旭サンモール","★★★ 最優先","フェーズ3の中身を実態ベースで書くため。組織問題(役割分担未確定等)が数字より先に来るのかを確認","①②③+それぞれの現状","","未回答"
"C-01","高萩:物件取得額と改装費の総額・内訳は?","C 高萩・青森・補助金","★★ 重要","小規模ホテル(14室)の投資モデルケース。「◯室なら投資◯万円まで」の基準を作る","取得◯万円+改装◯万円(主な内訳)","","未回答"
"C-02","高萩:セルフチェックイン・キャッシュレスの構成(システム名、初期費用、月額)は?","C 高萩・青森・補助金","★★ 重要","青森でも「セルフチェックインにしたい」と明言済み。無人化の標準構成として型化する","システム一覧+費用","【AI下書き・要確認】構成: セルフチェックイン(予約を電話番号/名前で検索して自己チェックイン)+リモートロック(スマートロック)+キャッシュレス(現金なし)でワンオペ運営。4階建・1Fロビー、客室は2-4Fに5/5/4室。備品はJTB商事(ベッド・枕・TV・スタンドライト・アメニティ)、ボトル盗難対策で壁付けディスペンサー(太田で中身盗難の経験から)。契約はNow Resort名義。(出典: 2026-03-23 JTB商事MTG, 高萩採用面接) ←システム名・初期費用・月額が未記録。5/5のチェックインアプリ商談(初期11万・月5.5万/店舗)は採用したか?","未回答"
"C-03","高萩:取得→開業までの工程を時系列で(何を、どの順で、何週間かけたか)","C 高萩・青森・補助金","★★ 重要","第2版に「フェーズ0.5 開業編」を追加する予定。青森開業前に文書化すれば即使える","時系列リスト。長文でOK","【AI下書き・要確認】記録から復元した工程: 3月上旬時点で「スマートロック設置・運営体制・家具調達・消防検査を残すのみ」(3/10MTG)→3月中: JTB商事に備品発注、リネン業者選定、清掃業者交渉(時給2,000円ライン)、北茨城消防に連絡(3/23)→4月: ハローワーク求人(4/7)、採用面接(4/5織田さん伊藤さん)→5月末: 物件購入(6/9MTGで報告)→無人チェックイン運用開始。購入直後の台風でサッシ雨漏り→業者修繕中。 ←所要週数と、山本さん個人購入かNow Resort購入かを確定してください(プロフィールではキンキ取得→Now改装、6/9議事録では山本さん購入)","未回答"
"C-04","高萩:大浴場のランニングコスト(ボイラー燃料、水道、清掃の月額)は?","C 高萩・青森・補助金","★ 余裕あれば","「大浴場=差別化」の裏のコストを数値化。次に大浴場付き物件を見る時の判断材料","月額◯万円(内訳)","","未回答"
"C-05","高萩:14室での損益分岐点(稼働率×単価の組み合わせ)は?","C 高萩・青森・補助金","★★ 重要","小規模無人型の収益モデルの検証。この型が回るなら横展開候補になる","稼働◯%×単価◯円で月次黒字","","未回答"
"C-06","青森:現在の準備状況と開業(2026年7月予定)までの残タスクは?","C 高萩・青森・補助金","★★ 重要","開業チェックリストの実地検証の機会。高萩の学びが青森でどう活きているかも記録する","残タスクのリスト","【AI下書き・要確認】3月時点: 業者見積もり確定待ち→確定次第施設移行を進める段階。鎌田さんと方針電話、園田さん経由で会長意向確認(3/23)。キンキ出資・改装でセルフチェックイン化の方針(プロフィール)。 ←7月開業予定に対する現在の残タスクを更新してください","未回答"
"C-07","補助金:新事業進出補助金の申請結果は?採択/不採択の要因を自己分析すると?","C 高萩・青森・補助金","★★ 重要","計画書はDriveに8バージョン以上あるが結果の記録が見当たらない。補助金活用は再生モデルの資金調達の柱","結果+要因分析","【AI下書き・要確認】2026/3/26に電子申請完了(ステップ30/30のPDFがその2・その3としてDriveに保存、つまり複数事業で申請の可能性)。金融機関確認書は東和銀行太田支店(眞下支店長、2026/3/25付)。内容は高萩の大浴場/サウナ系(銀行提出用サウナ事業PLあり)。 ←採択発表の結果(採択/不採択/発表待ち)と、その2/その3が何の事業かを記入してください","未回答"
"C-08","補助金:これまで取った補助金の全リスト(名称、採択額、使途、実際に効いたか)","C 高萩・青森・補助金","★★ 重要","持続化(スイート+サウナ)以外の全体像。「再生×補助金」の型はコンサル商品の差別化要素になる","一覧表","【AI下書き・要確認】記録から拾えた分: ①持続化補助金(太田: スイートルームリフォーム+プライベートサウナ) ②太田市賃上げ促進支援金(2026/3/19支給決定通知書あり、Now Resort) ③新事業進出補助金(2026/3/26申請、結果未記録) ④コロナ期: 持続化給付金の申請補助(ダンサー向け・他者支援)。参考: 沖縄コンサル先は事業再構築補助金2,500万でキャンプ場建設。 ←各件の採択額と「実際に効いたか」を追記してください","未回答"
"D-01","買収判断:「これ以下なら買わない」の最低ライン(利回り、回収年数、投資上限)を今の感覚で言語化すると?","D 取得判断・出口・資金","★★★ 最優先","【要確認】1番と5番。頭の中の基準を数値にしないと、パートナーに一次スクリーニングを任せられない","利回り◯%以上/回収◯年以内/投資上限◯円。「案件による」なら、よる条件を","","未回答"
"D-02","長野59室:現時点の判断状況と、迷っているポイントは?","D 取得判断・出口・資金","★★ 重要","進行中の判断にDDチェックリストを当てる実地テスト。迷いの中身=基準の欠落箇所","状況+迷いポイント","","未回答"
"D-03","出口:太田「1億円で売却」は今も生きている目標か?変わったなら何に?","D 取得判断・出口・資金","★★★ 最優先","自分ノート(2022年時点)の記述が現在も有効か確認。出口が変わればフェーズ3の書き方が変わる","生きている/変更(→新しい出口)","","未回答"
"D-04","純資産10億円への道筋:ホテル保有・売却益・コンサル収入の構成イメージは?何年で?","D 取得判断・出口・資金","★★★ 最優先","プレイブック全体の上位目標。どのルート重視かで「次に買うべき物件」の基準が変わる","ざっくり構成比+年数。自分ノートの「不動産資産10億・年収1億」との関係も","","未回答"
"D-05","キンキエステートとの関係:物件取得の意思決定プロセスと、山本さんの決定権の範囲は?","D 取得判断・出口・資金","★★ 重要","再生スキームの前提条件。将来の独立(6/9議事録で言及)を考える際の依存度の把握","意思決定の流れ+自分の権限範囲","","未回答"
"D-06","資金調達:これまでの融資実績(金融機関、金額、金利、担保・個人保証の有無)は?","D 取得判断・出口・資金","★★ 重要","次案件の調達余力の把握。「会計士の再生屋」への金融機関の評価は再現可能な強みのはず","一覧","【AI下書き・要確認】記録から拾えた分: 東和銀行太田支店と取引関係(新事業進出補助金の金融機関確認書を2026/3/25に取得、眞下尚磯支店長名)。銀行提出用のサウナ事業計画書(PL・人員・資金繰り・長期借入返済計画、v5-v6)を2025年12月に作成。4月末に融資可否が決まる案件への言及あり(4/21議事録、旭の全館空調2,000-3,000万関連か)。 ←各融資の金額・金利・担保・個人保証の有無を記入してください","未回答"
"D-07","見送り・撤退:これまで「買わなかった」「途中でやめた」案件と、その理由は?","D 取得判断・出口・資金","★★★ 最優先","撤退基準は成功例より見送り例から抽出できる。プレイブックに「買わない条件」の実例集を作る","案件ごとに:概要+見送り理由","【AI下書き・要確認】記録から拾えた分: ①宇部ホテル: プロジェクト中止→賃貸住宅として運用に転換(会長が全体最適を考慮した判断、3/10MTG) ②大棚リゾートホテル: 0円事業譲渡の経験(M&A経験として位置づけ) ③小森ホテル: コンサルか支配人的関与かで関与度を検討中。 ←それぞれの見送り/転換の判断理由と、他に見送った案件を追記してください","未回答"
"E-01","日別料金コントロールの実際のルール:何を見て(残室?リードタイム?イベント?)、いつ、いくら動かすか?","E 価格・販売","★★★ 最優先","現在スプレッドシート+あなたの判断で回っている暗黙知。ルール化できればフロントに委譲でき、全ホテルに展開できる","判断ルールの言語化+可能ならシートの共有","","未回答"
"E-02","値上げの限界の見極め方:何が起きたら「上げすぎ」と判断するか?","E 価格・販売","★★ 重要","高単価化戦略のブレーキ基準。クレーム・キャンセル率・レビュー点数など、見ている指標を特定する","見ている指標+実際に下げた事例があれば","【材料・実測】キャンセル率は値上げ局面でも横ばい(2022年28.0%→2025年25.1%→2026年25.5%)=現ADR水準はまだ上げすぎゾーンに達していない示唆。 ←あなたが実際に見ている指標(クレーム/レビュー点数/リードタイム変化など)と、下げた実例を追記ください","未回答"
"E-03","Tripla:初期費用・月額・手数料率と、7/1稼働後の初期成果は?","E 価格・販売","★★ 重要","自社予約強化の投資対効果。旭で成功すれば太田・青森への展開判断材料になる","費用+初月の自社予約件数/比率","【AI下書き・要確認】2026/6/2にTripla導入MTG実施、7/1自社予約エンジンリリース予定(旭)。電話受けの法人特約価格は廃止方向とセット。 ←初期費用・月額・手数料率と、稼働後の初期成果を記入してください","未回答"
"E-04","宿力(浅田さん)への報酬体系と、依頼している業務範囲は?","E 価格・販売","★★ 重要","外部レベニュー体制のコスト構造。7月からの参画で体制が変わるタイミングでもある","固定◯円+成果報酬の条件/業務範囲","【AI下書き・要確認】過去の宿力(ヤドリキ)契約: 成果報酬型で月5万円+α。新体制(浅田さん、7/1〜): 月額固定+パフォーマンス報酬のハイブリッド、評価は「売上−送客手数料−決済手数料」の粗利ベース、役員報酬・減価償却は除外(OTA広告費で売上だけ伸ばす施策の防止)。沖縄案件で合意した設計。業務範囲: 撮影ディレクション・プラン作成・レベニュー・HP制作(AI活用)。(出典: 2026-05-29MTG) ←自社ホテル向けの実額(固定額・料率)を記入してください","未回答"
"E-05","口コミ・レビュー運用:返信は誰がどう書いているか?点数目標はあるか?","E 価格・販売","★ 余裕あれば","現在ChatGPTで都度生成している業務。トーンと定型判断を文書化すれば委譲できる","現在の運用+各ホテルの現在点数","","未回答"
"F-01","各ホテルの人員構成(正社員/パート人数、平均給与・時給)は?","F 人・組織","★★ 重要","「◯室規模なら◯人で回す」の人員モデルを作る。再生時の適正人員判断の基準","ホテル別に:正◯人/パート◯人/水準","","未回答"
"F-02","採用:効いている採用チャネルと、1人あたり採用コストは?","F 人・組織","★ 余裕あれば","地方ホテルの採用難への実践解。高萩面接の記録はあるがチャネル戦略が未文書化","チャネル別の実績感+コスト","【AI下書き・要確認】ハローワーク求人を利用(4/7に高萩分を出稿、029-297-7235)。高萩は求人応募2名の面接記録あり(織田さん伊藤さん、4/5)。伊藤さんは「このエリアでビジネスホテル求人が少ない」ため応募=地方は競合求人が少なく無料チャネルで足りる示唆。 ←Indeed等他チャネルの実績と採用コストを追記してください","未回答"
"F-03","川村さん(元従業員→京都ホテル社長):どう見つけ、どう育てたか?再現できる要素は何か?","F 人・組織","★★★ 最優先","「自走化」の最重要成功例。支配人育成が型化できれば多店舗展開の最大ボトルネック(人)が外れる","経緯+本人の資質/こちらの働きかけの切り分け。長文でOK","","未回答"
"F-04","権限移譲の失敗例:任せて失敗したこと、その後どう修正したか?","F 人・組織","★★ 重要","移譲の型は失敗例から精度が上がる。森本さんの件(範囲限定で解決)以外の事例を収集","事例+修正方法","","未回答"
"F-05","賞与年2回(1ヶ月分ずつ)の原資判断:赤字でも出すか?基準は?","F 人・組織","★ 余裕あれば","再生中の処遇方針として文書化。従業員引き継ぎ型の再生では士気設計が重要","判断基準","","未回答"
"F-06","「自走化」のあなた自身の定義は?(第1版では仮説として「支配人不在2週間で回る」と置いた)","F 人・組織","★★★ 最優先","2026年目標(千葉・太田の自走化)の合否判定基準そのもの。定義がないと達成宣言ができない","定義+測り方","","未回答"
"G-01","PMS(Staysee):月額と、BIZから乗り換えた決め手は?不満点は?","G 業務インフラ","★ 余裕あれば","次のホテルでのPMS選定を即決できるようにする","費用+決め手+不満","","未回答"
"G-02","Notion運用:太田フロントで定着した要因と、他ホテル展開の障害は?","G 業務インフラ","★★ 重要","6/23のMTGで「他ホテルへの展開が目標」と発言。定着の再現条件を特定する","定着要因+障害","","未回答"
"G-03","Discord日報の実際のフォーマットは?(サンプル貼り付け可)","G 業務インフラ","★ 余裕あれば","日報→経営改善のループを第2版のフェーズ3に組み込む。フォーマット自体が横展開資産","サンプル貼り付け","","未回答"
"G-04","バックオフィスSaaSの全リストと月額総コスト(freee, KoT, Notion, Discord, その他)は?","G 業務インフラ","★ 余裕あれば","「1ホテル増えるとバックオフィスコストがいくら増えるか」の限界費用を出す","一覧+月額合計","【AI下書き・要確認】記録から拾えた分: freee(会計・請求書)、King of Time(勤怠)、Notion(ビジネスプラン、1人あたりGoogle+Notionで約5,000円/月)、Discord(日報)、Staysee(PMS)、RPAのAcirobot(費用対効果に議論あり、3/10MTG)、ChatGPT有料プラン(口コミ返信等)。 ←各月額と合計を記入してください","未回答"
"H-01","現在「自分にしかできない」業務トップ5は?(意思決定でなく作業レベルで)","H 自己分析・強み弱み","★★★ 最優先","自走化と売却の最大障害=属人業務の特定。ここが第2版の「委譲計画」の出発点になる","①〜⑤+それぞれ週何時間か","","未回答"
"H-02","他の再生屋・運営会社と比べて「自分の方が上手い」と思う点は?","H 自己分析・強み弱み","★★★ 最優先","強みの自己認識。会計士×宅建×ハンズオンの組み合わせのどこが実際に効いているかを特定し、コンサル商品のcoreにする","自由記述。遠慮なく","","未回答"
"H-03","毎回苦手・後回しにしてしまう業務は?","H 自己分析・強み弱み","★★★ 最優先","弱点の特定。プレイブックで仕組み化するか、人を雇うか、外注するかの判断につなげる","自由記述。遠慮なく","","未回答"
"H-04","1週間の時間配分のざっくり実績(現場/経理/営業/MTG/移動/その他)は?","H 自己分析・強み弱み","★★ 重要","時間の使い方と目標(10億)の整合チェック。自分ノートにも「時間配分のミスマッチに対処する」と自ら書いている","◯割ずつのざっくりで可","","未回答"
"H-05","これまでの再生キャリアで最大の失敗と、そこからの学びは?","H 自己分析・強み弱み","★★ 重要","プレイブックの「やってはいけないこと」リストの源泉。成功列挙より失敗の方が次の再生の事故を防ぐ","自由記述。長文でOK","","未回答"
"H-06","コンサル(沖縄・石川・佐賀)で商品化するなら何を売る?(財務診断/ハンズオン/レベニュー/全部)","H 自己分析・強み弱み","★★ 重要","プレイブックの最終形態=商品。何を売るかで第2版に厚みを持たせる章が決まる","商品イメージ+価格感があれば","【AI下書き・要確認】相場観の材料: マルハン案件=月額75万円×4ヶ月契約で3館を順次立て直し(3/10MTG)。沖縄=固定+粗利連動ハイブリッド。過去の宿力=月5万+α成果報酬。関与形態の論点も既出: 「販売だけでなく接客・清掃等の現場業務も含めた総合支援が必要」「コンサルか支配人的改善かの線引き」(小森ホテルの検討)。 ←自分が売るなら何をいくらで、を記入してください","未回答"
"H-07","5年後、自分は現場に入っていたいか、完全にオーナー/投資家側にいたいか?","H 自己分析・強み弱み","★★ 重要","プレイブックを「自分用の手順書」にするか「他人が実行できる標準」にするかの分岐点。答えで第2版の書き方を変える","自由記述","","未回答"
